state_name,class_name,candidate_name,is_valid,uses_old_codespace_only,avg_codeword_entanglement,overlap_with_old_codespace,best_depth,mean_depth,std_depth,best_size,mean_size,best_two_qubit_gate_count,mean_two_qubit_gate_count,num_qubits,best_count_ops,n_transpile_runs,successful_trials,failed_trials,status,error_message,approx_ref_depth,approx_ref_two_qubit_gate_count,approx_status,approx_error_message,fid085_best_approx_degree,fid085_best_fidelity,fid085_best_depth,fid085_best_two_qubit_gate_count,fid090_best_approx_degree,fid090_best_fidelity,fid090_best_depth,fid090_best_two_qubit_gate_count,fid095_best_approx_degree,fid095_best_fidelity,fid095_best_depth,fid095_best_two_qubit_gate_count,is_baseline_reference,is_trivial_identity,is_baseline_equivalent,skip_reason
two_qutrit,monomial_full,sup012_P012_ph110,True,True,0.0,1.0,34,41.65,3.85,76,71.05,21,18.6,128,"{'sx': 27, 'rz': 20, 'cz': 16, 'rx': 8, 'rzz': 5}",20,20,0,ok,,11,6,ok,,0.91,0.884456989523,11,6,0.96,1.0,11,6,0.96,1.0,11,6,False,False,False,
two_qutrit,monomial_full,sup013_P102_ph220,True,False,0.0,0.666667,36,43.7,3.87,77,70.05,23,20.6,128,"{'sx': 26, 'rz': 19, 'cz': 17, 'rx': 9, 'rzz': 6}",20,20,0,ok,,12,8,ok,,0.9,1.0,12,8,0.9,1.0,12,8,0.9,1.0,12,8,False,False,False,
two_qutrit,monomial_full,sup013_P102_ph211,True,False,0.0,0.666667,36,42.75,3.45,78,71.25,23,20.6,128,"{'sx': 26, 'rz': 19, 'cz': 17, 'rx': 10, 'rzz': 6}",20,20,0,ok,,12,8,ok,,0.9,0.8562045892,12,8,0.95,1.0,12,8,0.95,1.0,12,8,False,False,False,
two_qutrit,monomial_full,sup023_P201_ph220,True,False,0.0,0.666667,36,42.45,3.34,78,70.85,23,20.6,128,"{'sx': 26, 'rz': 19, 'cz': 17, 'rx': 10, 'rzz': 6}",20,20,0,ok,,12,8,ok,,0.95,0.943626743013,12,8,0.95,0.943626743013,12,8,0.99,1.0,12,8,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph012,True,True,0.0,1.0,37,43.3,3.41,86,72.55,19,17.8,128,"{'rz': 30, 'rx': 21, 'sx': 16, 'cz': 10, 'rzz': 9}",20,20,0,ok,,11,6,ok,,0.91,0.912185046499,11,6,0.91,0.912185046499,11,6,0.99,1.0,11,6,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph021,True,True,0.0,1.0,37,43.45,3.5,86,72.9,19,17.8,128,"{'rz': 30, 'rx': 21, 'sx': 16, 'cz': 10, 'rzz': 9}",20,20,0,ok,,11,6,ok,,0.91,1.0,11,6,0.91,1.0,11,6,0.91,1.0,11,6,False,False,False,
two_qutrit,product,U_Z__V_Z,True,True,0.0,1.0,37,43.2,3.36,87,72.6,19,17.8,128,"{'rz': 30, 'rx': 20, 'sx': 18, 'cz': 10, 'rzz': 9}",20,20,0,ok,,11,6,ok,,0.91,1.0,11,6,0.91,1.0,11,6,0.91,1.0,11,6,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph101,True,True,0.0,1.0,37,43.65,3.76,89,77.05,19,17.8,128,"{'rz': 33, 'rx': 21, 'sx': 16, 'cz': 10, 'rzz': 9}",20,20,0,ok,,11,6,ok,,0.96,0.969941188665,11,6,0.96,0.969941188665,11,6,0.96,0.969941188665,11,6,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph122,True,True,0.0,1.0,37,44.05,3.79,89,77.3,19,17.8,128,"{'rz': 33, 'rx': 21, 'sx': 16, 'cz': 10, 'rzz': 9}",20,20,0,ok,,11,6,ok,,0.9,0.931903015417,10,6,0.9,0.931903015417,10,6,0.93,0.969941188665,11,6,False,False,False,
two_qutrit,monomial_full,sup012_P012_ph202,True,True,0.0,1.0,37,43.45,3.6,89,76.85,19,17.8,128,"{'rz': 33, 'rx': 21, 'sx': 16, 'cz': 10, 'rzz': 9}",20,20,0,ok,,11,6,ok,,0.9,0.982034947022,11,6,0.9,0.982034947022,11,6,0.9,0.982034947022,11,6,False,False,False,
